cadena;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Jumbo;Quilmes;Cerveza Sin Alcohol 473 Cc Quilmes;473 ml;2282.0;1483.3;35;35% QUILMES | Ofertas Internas
Jumbo;Antares;Cerveza IPA 473 Cc Antares;473 ml;4800.0;4800.0;0;
Jumbo;Kunstmann;Cerveza Kunstmann Ipa Session 470cc;470 ml;4567.0;4567.0;0;
Jumbo;Antares;Cerveza Antares Caravana 473 Ml;473 ml;4800.0;4800.0;0;
Jumbo;Patagonia;Cerveza IPA Sabor Sauco 730 Cc Patagonia;730 ml;7298.0;5473.5;25;25% PATAGONIA | Ofertas Internas
Jumbo;Grolsch;Cerveza Pilsner 925 Cc Grolsch;925 ml;6747.0;4048.2;40;40% Almacen | Ecommerce
Jumbo;Grolsch;Cerveza Pilsner 473 Cc Grolsch;473 ml;3996.0;2397.6;40;40% Almacen | Ecommerce
Jumbo;Heineken;Cerveza Rubia 473 Ml Heineken;473 ml;4050.0;3361.5;17;6x5 HEINEKEN | Ofertas Internas
Jumbo;Schneider;Cerveza Sabor Limón Remix 473 Cc Schneider;473 ml;2803.0;2803.0;0;
Jumbo;Imperial;Cerveza Golden Sin Alcohol 473 Cc Imperial;473 ml;2284.0;1895.72;17;6x5 IMPERIAL | Ofertas Internas
Jumbo;Patagonia;Cerveza Lager del Sur 730 Cc Patagonia;730 ml;7298.0;5473.5;25;25% PATAGONIA | Ofertas Internas
Jumbo;Antares;Cerveza Lager 473 Cc Antares;473 ml;4100.0;4100.0;0;
Jumbo;Peroni;Cerveza Pilsen 330 Ml Peroni;330 ml;5600.0;4200.0;25;25% PERONI | Ofertas Trafico
Jumbo;Amstel;Cerveza Lager 710 Ml Amstel;710 ml;3996.0;3996.0;0;
Jumbo;Pampa Brewing;Cerveza Nitro Cream Stout 473 Cc Pampa Brewing;473 ml;3550.0;3550.0;0;
Jumbo;Pampa Brewing;Cerveza Sabor Honey 473 Cc Pampa Brewing;473 ml;3150.0;3150.0;0;
